query,query_type,config,mrr,p@1,r@1,ndcg@1,p@3,r@3,ndcg@3,p@5,r@5,ndcg@5,p@10,r@10,ndcg@10
What three conditions must be met for a disclosure,exact_anchor,hybrid,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
"Under section 338 of POCA 2002, what is the first ",exact_anchor,hybrid,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,0.2,1.0,0.5,0.1,1.0,0.5
How does section 340 of POCA 2002 define 'criminal,exact_anchor,hybrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Under section 339 of POCA 2002, who has power to p",exact_anchor,hybrid,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
MLR 2017 regulation 3 defines 'beneficial owner' f,cross_reference,hybrid,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.23719771276929622,0.1,0.5,0.23719771276929622
Regulation 3 of MLR 2017 states that 'business rel,cross_reference,hybrid,0.5,0.0,0.0,0.0,0.3333333333333333,0.5,0.38685280723454163,0.4,1.0,0.6509209298071326,0.2,1.0,0.6509209298071326
Regulation 3 of MLR 2017 defines 'customer due dil,cross_reference,hybrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLR 2017 regulation 3 provides that 'politically e,cross_reference,hybrid,0.5,0.0,0.0,0.0,0.3333333333333333,0.5,0.38685280723454163,0.2,0.5,0.38685280723454163,0.1,0.5,0.38685280723454163
Regulation 28 of MLR 2017 states it applies when a,cross_reference,hybrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLR 2017 regulation 29 specifies it applies 'in ad,cross_reference,hybrid,1.0,1.0,0.5,1.0,0.3333333333333333,0.5,0.6131471927654584,0.2,0.5,0.6131471927654584,0.1,0.5,0.6131471927654584
What standard CDD measures required by regulation ,cross_reference,hybrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What must a credit institution apply under MLR 201,cross_reference,hybrid,1.0,1.0,0.5,1.0,0.3333333333333333,0.5,0.6131471927654584,0.4,1.0,0.8772153153380493,0.2,1.0,0.8772153153380493
How does MLR 2017 regulation 35 on politically exp,cross_reference,hybrid,0.5,0.0,0.0,0.0,0.3333333333333333,0.5,0.38685280723454163,0.2,0.5,0.38685280723454163,0.2,1.0,0.5802792108518124
Regulation 30 of MLR 2017 sets the timing rule for,cross_reference,hybrid,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25,0.16812753627111746,0.2,0.5,0.29127873064148246
A person accused under section 327 of POCA 2002 ma,cross_reference,hybrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What authorised disclosure under POCA 2002 can pre,cross_reference,hybrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How does the protected disclosure mechanism in sec,cross_reference,hybrid,1.0,1.0,0.5,1.0,0.3333333333333333,0.5,0.6131471927654584,0.2,0.5,0.6131471927654584,0.1,0.5,0.6131471927654584
Section 335 of POCA 2002 defines 'appropriate cons,cross_reference,hybrid,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.23719771276929622,0.2,1.0,0.45560514958746035
"Under section 336 of POCA 2002, what disclosure mu",cross_reference,hybrid,0.5,0.0,0.0,0.0,0.3333333333333333,0.5,0.38685280723454163,0.4,1.0,0.6509209298071326,0.2,1.0,0.6509209298071326
Section 339 of POCA 2002 empowers the Secretary of,cross_reference,hybrid,1.0,1.0,0.5,1.0,0.3333333333333333,0.5,0.6131471927654584,0.4,1.0,0.8772153153380493,0.2,1.0,0.8772153153380493
Section 342 of POCA 2002 creates a tipping off off,cross_reference,hybrid,0.5,0.0,0.0,0.0,0.3333333333333333,0.5,0.38685280723454163,0.2,0.5,0.38685280723454163,0.1,0.5,0.38685280723454163
The section 327 offences in POCA 2002 apply to 'cr,cross_reference,hybrid,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.5,0.3065735963827292,0.2,0.5,0.3065735963827292,0.1,0.5,0.3065735963827292
MLR 2017 regulation 3 defines 'money laundering' b,cross_reference,hybrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regulation 27(1)(c) of MLR 2017 requires a relevan,cross_reference,hybrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The failure-to-disclose offence in POCA 2002 secti,cross_reference,hybrid,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.21840743681816419
MLR 2017 regulation 33 requires enhanced CDD where,cross_reference,hybrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLR 2017 regulation 44 requires trustees to mainta,cross_reference,hybrid,0.5,0.0,0.0,0.0,0.3333333333333333,0.5,0.38685280723454163,0.4,1.0,0.6240505200038379,0.2,1.0,0.6240505200038379
Section 332 of POCA 2002 creates a failure-to-disc,cross_reference,hybrid,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3333333333333333,0.20210734650054757,0.1,0.3333333333333333,0.20210734650054757
MLR 2017 regulation 3 defines 'nominated officer' ,cross_reference,hybrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
