query,query_type,config,mrr,p@1,r@1,ndcg@1,p@3,r@3,ndcg@3,p@5,r@5,ndcg@5,p@10,r@10,ndcg@10
What five acts constitute the principal money laun,exact_anchor,dense_sparse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How does section 328 of POCA 2002 define the arran,exact_anchor,dense_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How does section 328 of POCA 2002 define the arran,exact_anchor,sparse_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How does section 328 of POCA 2002 define the arran,exact_anchor,dense_sparse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Under section 329 of POCA 2002, what three types o",exact_anchor,dense_only,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
"Under section 329 of POCA 2002, what three types o",exact_anchor,sparse_only,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.430676558073393,0.1,1.0,0.430676558073393
"Under section 329 of POCA 2002, what three types o",exact_anchor,dense_sparse,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
What three conditions must all be satisfied for a ,exact_anchor,dense_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What three conditions must all be satisfied for a ,exact_anchor,sparse_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What three conditions must all be satisfied for a ,exact_anchor,dense_sparse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Under section 331 of POCA 2002, who specifically c",exact_anchor,dense_only,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.3868528072345416,0.1,1.0,0.3868528072345416
"Under section 331 of POCA 2002, who specifically c",exact_anchor,sparse_only,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.3562071871080222
"Under section 331 of POCA 2002, who specifically c",exact_anchor,dense_sparse,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.3868528072345416,0.1,1.0,0.3868528072345416
What three elements must be present for a person t,exact_anchor,dense_only,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.2890648263178879
What three elements must be present for a person t,exact_anchor,sparse_only,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.3010299956639812
What three elements must be present for a person t,exact_anchor,dense_sparse,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.3562071871080222
How does section 335 of POCA 2002 define 'appropri,exact_anchor,dense_only,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.3562071871080222
How does section 335 of POCA 2002 define 'appropri,exact_anchor,sparse_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How does section 335 of POCA 2002 define 'appropri,exact_anchor,dense_sparse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Under section 336 of POCA 2002, what conditions mu",exact_anchor,dense_only,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
"Under section 336 of POCA 2002, what conditions mu",exact_anchor,sparse_only,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
"Under section 336 of POCA 2002, what conditions mu",exact_anchor,dense_sparse,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
What three conditions must be met for a disclosure,exact_anchor,dense_only,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
What three conditions must be met for a disclosure,exact_anchor,sparse_only,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
What three conditions must be met for a disclosure,exact_anchor,dense_sparse,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
"Under section 338 of POCA 2002, what is the first ",exact_anchor,dense_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Under section 338 of POCA 2002, what is the first ",exact_anchor,sparse_only,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
"Under section 338 of POCA 2002, what is the first ",exact_anchor,dense_sparse,0.5,0.0,0.0,0.0,0.3333333333333333,1.0,0.6309297535714575,0.2,1.0,0.6309297535714575,0.1,1.0,0.6309297535714575
How does section 340 of POCA 2002 define 'criminal,exact_anchor,dense_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How does section 340 of POCA 2002 define 'criminal,exact_anchor,sparse_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How does section 340 of POCA 2002 define 'criminal,exact_anchor,dense_sparse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Under section 339 of POCA 2002, who has power to p",exact_anchor,dense_only,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
"Under section 339 of POCA 2002, who has power to p",exact_anchor,sparse_only,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
"Under section 339 of POCA 2002, who has power to p",exact_anchor,dense_sparse,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0
MLR 2017 regulation 3 defines 'beneficial owner' f,cross_reference,dense_only,1.0,1.0,0.5,1.0,0.3333333333333333,0.5,0.6131471927654584,0.2,0.5,0.6131471927654584,0.2,1.0,0.8315546295836225
MLR 2017 regulation 3 defines 'beneficial owner' f,cross_reference,sparse_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLR 2017 regulation 3 defines 'beneficial owner' f,cross_reference,dense_sparse,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.2371977127692962,0.2,1.0,0.4217734095488644
Regulation 3 of MLR 2017 states that 'business rel,cross_reference,dense_only,0.5,0.0,0.0,0.0,0.3333333333333333,0.5,0.3868528072345416,0.2,0.5,0.3868528072345416,0.1,0.5,0.3868528072345416
Regulation 3 of MLR 2017 states that 'business rel,cross_reference,sparse_only,1.0,1.0,0.5,1.0,0.3333333333333333,0.5,0.6131471927654584,0.2,0.5,0.6131471927654584,0.1,0.5,0.6131471927654584
Regulation 3 of MLR 2017 states that 'business rel,cross_reference,dense_sparse,0.5,0.0,0.0,0.0,0.6666666666666666,1.0,0.6934264036172708,0.4,1.0,0.6934264036172708,0.2,1.0,0.6934264036172708
Regulation 3 of MLR 2017 defines 'customer due dil,cross_reference,dense_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regulation 3 of MLR 2017 defines 'customer due dil,cross_reference,sparse_only,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.2640681225725909,0.1,0.5,0.2640681225725909
Regulation 3 of MLR 2017 defines 'customer due dil,cross_reference,dense_sparse,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.1934264036172708
MLR 2017 regulation 3 provides that 'politically e,cross_reference,dense_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLR 2017 regulation 3 provides that 'politically e,cross_reference,sparse_only,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.2371977127692962,0.2,1.0,0.4144369995533439
MLR 2017 regulation 3 provides that 'politically e,cross_reference,dense_sparse,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.1772392867840477
Regulation 28 of MLR 2017 states it applies when a,cross_reference,dense_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regulation 28 of MLR 2017 states it applies when a,cross_reference,sparse_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regulation 28 of MLR 2017 states it applies when a,cross_reference,dense_sparse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLR 2017 regulation 29 specifies it applies 'in ad,cross_reference,dense_only,1.0,1.0,0.5,1.0,0.3333333333333333,0.5,0.6131471927654584,0.2,0.5,0.6131471927654584,0.1,0.5,0.6131471927654584
MLR 2017 regulation 29 specifies it applies 'in ad,cross_reference,sparse_only,1.0,1.0,0.5,1.0,0.3333333333333333,0.5,0.6131471927654584,0.2,0.5,0.6131471927654584,0.1,0.5,0.6131471927654584
MLR 2017 regulation 29 specifies it applies 'in ad,cross_reference,dense_sparse,1.0,1.0,0.5,1.0,0.3333333333333333,0.5,0.6131471927654584,0.2,0.5,0.6131471927654584,0.1,0.5,0.6131471927654584
What standard CDD measures required by regulation ,cross_reference,dense_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What standard CDD measures required by regulation ,cross_reference,sparse_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What standard CDD measures required by regulation ,cross_reference,dense_sparse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What must a credit institution apply under MLR 201,cross_reference,dense_only,1.0,1.0,0.5,1.0,0.3333333333333333,0.5,0.6131471927654584,0.2,0.5,0.6131471927654584,0.1,0.5,0.6131471927654584
What must a credit institution apply under MLR 201,cross_reference,sparse_only,1.0,1.0,0.5,1.0,0.3333333333333333,0.5,0.6131471927654584,0.2,0.5,0.6131471927654584,0.2,1.0,0.7977228895450266
What must a credit institution apply under MLR 201,cross_reference,dense_sparse,1.0,1.0,0.5,1.0,0.3333333333333333,0.5,0.6131471927654584,0.2,0.5,0.6131471927654584,0.1,0.5,0.6131471927654584
How does MLR 2017 regulation 35 on politically exp,cross_reference,dense_only,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.1845756967795681
How does MLR 2017 regulation 35 on politically exp,cross_reference,sparse_only,0.5,0.0,0.0,0.0,0.3333333333333333,0.5,0.3868528072345416,0.2,0.5,0.3868528072345416,0.1,0.5,0.3868528072345416
How does MLR 2017 regulation 35 on politically exp,cross_reference,dense_sparse,0.5,0.0,0.0,0.0,0.3333333333333333,0.5,0.3868528072345416,0.2,0.5,0.3868528072345416,0.1,0.5,0.3868528072345416
Regulation 30 of MLR 2017 sets the timing rule for,cross_reference,dense_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regulation 30 of MLR 2017 sets the timing rule for,cross_reference,sparse_only,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.1301266833307005
Regulation 30 of MLR 2017 sets the timing rule for,cross_reference,dense_sparse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A person accused under section 327 of POCA 2002 ma,cross_reference,dense_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A person accused under section 327 of POCA 2002 ma,cross_reference,sparse_only,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.1845756967795681
A person accused under section 327 of POCA 2002 ma,cross_reference,dense_sparse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What authorised disclosure under POCA 2002 can pre,cross_reference,dense_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What authorised disclosure under POCA 2002 can pre,cross_reference,sparse_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What authorised disclosure under POCA 2002 can pre,cross_reference,dense_sparse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How does the protected disclosure mechanism in sec,cross_reference,dense_only,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.1772392867840477
How does the protected disclosure mechanism in sec,cross_reference,sparse_only,1.0,1.0,0.5,1.0,0.3333333333333333,0.5,0.6131471927654584,0.2,0.5,0.6131471927654584,0.1,0.5,0.6131471927654584
How does the protected disclosure mechanism in sec,cross_reference,dense_sparse,1.0,1.0,0.5,1.0,0.3333333333333333,0.5,0.6131471927654584,0.2,0.5,0.6131471927654584,0.1,0.5,0.6131471927654584
Section 335 of POCA 2002 defines 'appropriate cons,cross_reference,dense_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Section 335 of POCA 2002 defines 'appropriate cons,cross_reference,sparse_only,1.0,1.0,0.5,1.0,0.3333333333333333,0.5,0.6131471927654584,0.2,0.5,0.6131471927654584,0.2,1.0,0.8175295903539445
Section 335 of POCA 2002 defines 'appropriate cons,cross_reference,dense_sparse,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.2371977127692962,0.1,0.5,0.2371977127692962
"Under section 336 of POCA 2002, what disclosure mu",cross_reference,dense_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Under section 336 of POCA 2002, what disclosure mu",cross_reference,sparse_only,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.1934264036172708
"Under section 336 of POCA 2002, what disclosure mu",cross_reference,dense_sparse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Section 339 of POCA 2002 empowers the Secretary of,cross_reference,dense_only,1.0,1.0,0.5,1.0,0.3333333333333333,0.5,0.6131471927654584,0.2,0.5,0.6131471927654584,0.1,0.5,0.6131471927654584
Section 339 of POCA 2002 empowers the Secretary of,cross_reference,sparse_only,1.0,1.0,0.5,1.0,0.3333333333333333,0.5,0.6131471927654584,0.2,0.5,0.6131471927654584,0.1,0.5,0.6131471927654584
Section 339 of POCA 2002 empowers the Secretary of,cross_reference,dense_sparse,1.0,1.0,0.5,1.0,0.3333333333333333,0.5,0.6131471927654584,0.2,0.5,0.6131471927654584,0.1,0.5,0.6131471927654584
Section 342 of POCA 2002 creates a tipping off off,cross_reference,dense_only,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.5,0.3065735963827292,0.2,0.5,0.3065735963827292,0.1,0.5,0.3065735963827292
Section 342 of POCA 2002 creates a tipping off off,cross_reference,sparse_only,0.5,0.0,0.0,0.0,0.3333333333333333,0.5,0.3868528072345416,0.2,0.5,0.3868528072345416,0.1,0.5,0.3868528072345416
Section 342 of POCA 2002 creates a tipping off off,cross_reference,dense_sparse,0.5,0.0,0.0,0.0,0.3333333333333333,0.5,0.3868528072345416,0.2,0.5,0.3868528072345416,0.1,0.5,0.3868528072345416
The section 327 offences in POCA 2002 apply to 'cr,cross_reference,dense_only,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.1772392867840477
The section 327 offences in POCA 2002 apply to 'cr,cross_reference,sparse_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The section 327 offences in POCA 2002 apply to 'cr,cross_reference,dense_sparse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLR 2017 regulation 3 defines 'money laundering' b,cross_reference,dense_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLR 2017 regulation 3 defines 'money laundering' b,cross_reference,sparse_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLR 2017 regulation 3 defines 'money laundering' b,cross_reference,dense_sparse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regulation 27(1)(c) of MLR 2017 requires a relevan,cross_reference,dense_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regulation 27(1)(c) of MLR 2017 requires a relevan,cross_reference,sparse_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regulation 27(1)(c) of MLR 2017 requires a relevan,cross_reference,dense_sparse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The failure-to-disclose offence in POCA 2002 secti,cross_reference,dense_only,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.1845756967795681
The failure-to-disclose offence in POCA 2002 secti,cross_reference,sparse_only,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.2371977127692962,0.1,0.5,0.2371977127692962
The failure-to-disclose offence in POCA 2002 secti,cross_reference,dense_sparse,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.2371977127692962,0.1,0.5,0.2371977127692962
MLR 2017 regulation 33 requires enhanced CDD where,cross_reference,dense_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLR 2017 regulation 33 requires enhanced CDD where,cross_reference,sparse_only,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.2184074368181641
MLR 2017 regulation 33 requires enhanced CDD where,cross_reference,dense_sparse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLR 2017 regulation 44 requires trustees to mainta,cross_reference,dense_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLR 2017 regulation 44 requires trustees to mainta,cross_reference,sparse_only,1.0,1.0,0.5,1.0,0.3333333333333333,0.5,0.6131471927654584,0.2,0.5,0.6131471927654584,0.2,1.0,0.8065735963827293
MLR 2017 regulation 44 requires trustees to mainta,cross_reference,dense_sparse,0.5,0.0,0.0,0.0,0.3333333333333333,0.5,0.3868528072345416,0.2,0.5,0.3868528072345416,0.1,0.5,0.3868528072345416
Section 332 of POCA 2002 creates a failure-to-disc,cross_reference,dense_only,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3333333333333333,0.2021073465005475,0.2,0.6666666666666666,0.3377593199329953
Section 332 of POCA 2002 creates a failure-to-disc,cross_reference,sparse_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Section 332 of POCA 2002 creates a failure-to-disc,cross_reference,dense_sparse,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3333333333333333,0.1564262420075854
MLR 2017 regulation 3 defines 'nominated officer' ,cross_reference,dense_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLR 2017 regulation 3 defines 'nominated officer' ,cross_reference,sparse_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLR 2017 regulation 3 defines 'nominated officer' ,cross_reference,dense_sparse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
